"Country or Area","Year","Item","Value"
"Côte d'Ivoire","2015","Gross Domestic Product (GDP)","1971.05367368943"
"Côte d'Ivoire","2014","Gross Domestic Product (GDP)","2042.2791298561"
"Côte d'Ivoire","2013","Gross Domestic Product (GDP)","1756.82408645733"
"Côte d'Ivoire","2012","Gross Domestic Product (GDP)","1461.62137137244"
"Côte d'Ivoire","2011","Gross Domestic Product (GDP)","1359.79904138624"
"Côte d'Ivoire","2010","Gross Domestic Product (GDP)","1279.11590606267"
"Côte d'Ivoire","2009","Gross Domestic Product (GDP)","1210.29544962208"
"Côte d'Ivoire","2008","Gross Domestic Product (GDP)","1235.61348837442"
"Côte d'Ivoire","2007","Gross Domestic Product (GDP)","1061.06198897502"
"Côte d'Ivoire","2006","Gross Domestic Product (GDP)","949.131815323224"
"Côte d'Ivoire","2005","Gross Domestic Product (GDP)","930.829742473637"
"Côte d'Ivoire","2004","Gross Domestic Product (GDP)","921.205464450172"
"Côte d'Ivoire","2003","Gross Domestic Product (GDP)","869.712383056761"
"Côte d'Ivoire","2002","Gross Domestic Product (GDP)","716.533842169898"
"Côte d'Ivoire","2001","Gross Domestic Product (GDP)","664.127821776102"
"Côte d'Ivoire","2000","Gross Domestic Product (GDP)","649.149269374015"

